date, user, operate, data
2018-07-28 17:19:09,Mopip77.,,ls
2018-07-28 17:19:32,Mopip77.,help,
2018-07-28 17:19:35,Mopip77.,ls,
2018-07-28 17:20:26,Mopip77.,ls,
2018-07-28 17:25:47,Mopip77.,dl,b.jpg
2018-07-28 17:26:03,Mopip77.,dl,a.mp4
2018-07-28 17:26:30,Mopip77.,dl,a.gif
2018-07-28 17:57:12,Mopip77.,ls,
2018-07-28 17:57:24,Mopip77.,dl,a.gif
2018-07-28 17:58:07,Mopip77.,你,
2018-07-28 17:58:21,Mopip77.,img,img/Mopip77._180728-175822.png
2018-07-28 17:59:44,Mopip77.,ls,
2018-07-28 18:00:00,Mopip77.,ls,
2018-07-28 18:01:21,Mopip77.,ls,
2018-07-28 18:01:52,Mopip77.,ls,
2018-07-28 18:01:58,Mopip77.,help,
2018-07-28 18:02:10,Mopip77.,img,img/Mopip77._180728-180211.png
2018-07-28 18:02:11,Mopip77.,img,img/Mopip77._180728-180211.png
2018-07-28 18:02:31,Mopip77.,joke,
2018-07-28 18:03:02,Mopip77.,hrlp,
2018-07-28 18:03:07,Mopip77.,help,
2018-07-28 18:03:25,Mopip77.,transen,如果说你要离开我
2018-07-28 19:21:26,Mopip77.,ls,
2018-07-28 19:21:49,Mopip77.,ls,
2018-07-28 19:24:19,Mopip77.,hey,
2018-07-28 19:24:35,Mopip77.,ls,
2018-07-28 19:25:21,Mopip77.,ls,
2018-07-28 19:25:21,Mopip77.,ls,
2018-07-28 19:25:25,Mopip77.,成了,
2018-07-28 19:25:25,Mopip77.,成了,
2018-07-28 19:25:41,Mopip77.,怎么了,
2018-07-28 19:25:41,Mopip77.,怎么了,
2018-07-28 19:25:44,Mopip77.,牛逼,
2018-07-28 19:25:44,Mopip77.,牛逼,
2018-07-28 19:26:08,Mopip77.,牛逼,
2018-07-28 19:26:11,Mopip77.,成了,
2018-07-28 19:26:41,Mopip77.,规划,
2018-07-28 19:27:01,Mopip77.,lk,
2018-07-28 19:29:14,Mopip77.,半价,
2018-07-28 19:30:00,Mopip77.,你好,
2018-07-28 19:30:10,Mopip77.,你好,
2018-07-28 19:38:01,Mopip77.,kill,
2018-07-28 22:33:58,Mopip77.,Last,
2018-07-28 22:34:00,Mopip77.,Ls,
2018-07-28 22:34:04,Mopip77.,Do,
2018-07-28 22:34:17,Mopip77.,dl,b.jpg
2018-07-29 14:20:23,Mopip77.,ls,
2018-07-31 23:33:27,Mopip77.,ls,
2018-07-31 23:33:48,Mopip77.,help,
2018-07-31 23:34:01,Mopip77.,voice,voice/Mopip77._180731-233401.mp3
2018-08-09 07:08:39,Mopip77.,tf,
2018-08-09 07:09:10,Mopip77.,img,img/Mopip77._180809-070910.png
2018-08-09 07:29:17,Mopip77.,img,img/Mopip77._180809-072917.png
2018-08-09 07:30:30,Mopip77.,ls,
2018-08-09 07:30:37,Mopip77.,dl,b.jpg
2018-08-09 08:10:43,Mopip77.,help,
2018-08-09 09:31:50,Mopip77.,“爱你”,
2018-08-09 09:32:20,Mopip77.,[发怒][呲牙][调皮][微笑][微笑],
2018-08-09 09:32:30,Mopip77.,ls,
2018-08-09 09:32:40,Mopip77.,dl,a.mp4
2018-08-09 21:49:08,Connie的高冷侠 ✌,哈哈哈哈哈,
2018-08-09 21:49:36,Connie的高冷侠 ✌,help,
2018-08-09 21:49:56,Connie的高冷侠 ✌,傻子,
2018-08-09 21:53:21,Connie的高冷侠 ✌,img,img/Connie的高冷侠 ✌_180809-215322.png
2018-08-09 21:53:31,Connie的高冷侠 ✌,img,img/Connie的高冷侠 ✌_180809-215332.png
2018-08-09 21:53:41,Connie的高冷侠 ✌,img,img/Connie的高冷侠 ✌_180809-215341.png
2018-08-09 21:54:06,Connie的高冷侠 ✌,img,img/Connie的高冷侠 ✌_180809-215406.png
2018-08-09 21:55:46,Connie的高冷侠 ✌,img,img/Connie的高冷侠 ✌_180809-215547.png
2018-08-09 22:03:30,Mopip77.,dj,
2018-08-09 22:03:53,Mopip77.,help,
2018-08-09 22:04:08,Mopip77.,img,img/Mopip77._180809-220408.png
2018-08-09 22:05:23,Mopip77.,img,img/Mopip77._180809-220524.png
2018-08-09 22:05:56,Mopip77.,transzh,We all make sweeping judgements aboutpeople. Him over there is arrogant, her in thecorner is needy, and as for her friend.. wellwhere do i start?The truth is that many of the judgements==-==we make about personality are instinctiveand say as much about us as they do about theperson we are judging. The study of person-==m+==-=-===mality can never amount to an exact science.However, there is a body of long-establishedresearch into personality that gives us a goodbasis for discussion. So how does your personality type match up against that of Holmes?The founding father of the psychologicalclassification of personality types is CarlJung, who published his landmark studyPsychological Types in 1921. He outlined twopairs of cognitive functions. On the one hand,the perceiving(or irrational)functions ofsensation and intuition while on the otherhand, the judging(or rational)functionsof thinking and feeling. In layman,'s termssensation is perception as derived from thesenses; thinking is the process of intellectualand logical cognition. Intuition is perceptionas derived from the subconscious while feel-==m====“m====“m========-==-=ing is the result of subjective and empatheticestimationAs if all this weren't quite complicatedenough, Jung threw in another element: anindividuals personality may be classified as
2018-08-09 22:10:07,Mopip77.,img,img/Mopip77._180809-221007.png
2018-08-09 22:13:44,Mopip77.,help,
2018-08-09 22:16:20,Connie的高冷侠 ✌,ls,
2018-08-09 22:18:19,Connie的高冷侠 ✌,dl,
2018-08-09 22:18:39,Mopip77.,dl,
2018-08-09 22:19:46,Connie的高冷侠 ✌,dl,b.jpg
2018-08-09 22:20:21,Connie的高冷侠 ✌,dl,a.gif
2018-08-09 22:20:56,Connie的高冷侠 ✌,dl,a.mp4
2018-08-09 22:39:51,Mopip77.,ls,
2018-08-09 22:40:15,Mopip77.,dl,weibo.mp4
2018-08-09 22:43:39,Connie的高冷侠 ✌,ls,
2018-08-09 22:43:54,Connie的高冷侠 ✌,dl,weibo.mo4
2018-08-09 22:44:10,Connie的高冷侠 ✌,dl,weibo.mp4
2018-09-19 21:23:45,Mopip77.,ll,
2018-09-19 21:23:52,Mopip77.,bhh,
2018-09-19 21:24:07,Mopip77.,tg,
2018-09-19 21:25:18,Mopip77.,ls,
2018-09-19 21:25:39,Mopip77.,help,
2018-09-19 21:27:37,Mopip77.,dl,a.mp4
2018-09-19 21:28:07,Mopip77.,img,img/Mopip77._180919-212807.png
2018-09-19 21:28:23,Mopip77.,img,img/Mopip77._180919-212823.png
2018-09-19 21:28:45,Mopip77.,transen,
2018-09-19 21:29:01,Mopip77.,transen,We all make sweeping judgements aboutpeople. Him over there is arrogant, her in thecorner is needy, and as for her friend.. wellwhere do i start?The truth is that many of the judgements==-==we make about personality are instinctiveand say as much about us as they do about theperson we are judging. The study of person-==m+==-=-===mality can never amount to an exact science.However, there is a body of long-establishedresearch into personality that gives us a goodbasis for discussion. So how does your personality type match up against that of Holmes?The founding father of the psychologicalclassification of personality types is CarlJung, who published his landmark studyPsychological Types in 1921. He outlined twopairs of cognitive functions. On the one hand,the perceiving(or irrational)functions ofsensation and intuition while on the otherhand, the judging(or rational)functionsof thinking and feeling. In layman,'s termssensation is perception as derived from thesenses; thinking is the process of intellectualand logical cognition. Intuition is perceptionas derived from the subconscious while feel-==m====“m====“m========-==-=ing is the result of subjective and empatheticestimationAs if all this weren't quite complicatedenough, Jung threw in another element: anindividuals personality may be classified as
2018-09-19 21:29:12,Mopip77.,transzh,We all make sweeping judgements aboutpeople. Him over there is arrogant, her in thecorner is needy, and as for her friend.. wellwhere do i start?The truth is that many of the judgements==-==we make about personality are instinctiveand say as much about us as they do about theperson we are judging. The study of person-==m+==-=-===mality can never amount to an exact science.However, there is a body of long-establishedresearch into personality that gives us a goodbasis for discussion. So how does your personality type match up against that of Holmes?The founding father of the psychologicalclassification of personality types is CarlJung, who published his landmark studyPsychological Types in 1921. He outlined twopairs of cognitive functions. On the one hand,the perceiving(or irrational)functions ofsensation and intuition while on the otherhand, the judging(or rational)functionsof thinking and feeling. In layman,'s termssensation is perception as derived from thesenses; thinking is the process of intellectualand logical cognition. Intuition is perceptionas derived from the subconscious while feel-==m====“m====“m========-==-=ing is the result of subjective and empatheticestimationAs if all this weren't quite complicatedenough, Jung threw in another element: anindividuals personality may be classified as
